L,a,b,Undertone,MST_Class,normal_pct,oily_pct,dry_pct
70.1576983681248,12.701161114379234,10.704184932682708,Cool,8,55.32,23.21,21.47
34.61693747521119,11.838105562109806,30.32518114626433,Cool,1,23.44,47.36,29.2
84.38307809785616,19.506527814717565,23.680751757589384,Cool,10,30.61,38.35,31.04
59.09748185420213,15.838018947567162,21.00110349083885,Warm,6,17.86,19.85,62.29
69.35654384030045,19.96750498856365,17.820589070663473,Neutral,8,70.48,16.77,12.75
30.20618331017018,10.390237245845451,30.818262990392935,Cool,1,55.11,19.43,25.46
48.53598186947663,6.701127709784823,8.113060977954863,Cool,4,42.29,10.23,47.48
38.172370135101474,14.396086428973632,8.981200204538546,Neutral,2,31.93,13.37,54.7
48.89135150146939,22.43687055490464,23.80456783871231,Warm,4,54.3,25.36,20.34
66.46595982321548,6.901130736651289,21.123553631372385,Neutral,7,32.5,16.81,50.69
45.0185684600293,12.012853829142935,16.65789437788367,Neutral,3,60.01,22.6,17.39
44.09248412346284,15.81270243220213,22.901484646911108,Warm,3,36.63,32.66,30.71
61.0694931853922,16.101698986045726,20.721533271186,Warm,6,38.54,32.98,28.48
70.81915454820204,19.152411714810707,12.719094691623212,Cool,8,25.19,31.3,43.51
77.64603265005906,13.882260103508129,34.289687640955364,Neutral,9,56.08,16.39,27.53
76.4278541655568,9.177654480103277,11.452403633005275,Warm,9,66.46,19.33,14.21
34.06644380646099,16.674271754627277,34.71518053605652,Cool,1,43.67,40.81,15.52
55.98858145815375,13.64669602085204,31.719920155136396,Warm,5,26.76,43.71,29.53
65.98327403484294,20.8437987655049,24.9861746231252,Neutral,7,40.41,46.52,13.07
67.3543801818872,23.737068601820305,27.10311611240716,Neutral,7,34.55,33.14,32.31
33.881699724000256,7.541210253037695,24.689462492363187,Warm,1,26.59,32.73,40.68
59.20925009417723,11.305806756612206,10.12161942318556,Warm,6,48.48,28.98,22.54
78.31266609557217,9.314813583529082,27.6923094403759,Warm,9,15.08,41.04,43.88
33.87340219889975,15.174119684325332,10.33873354307674,Neutral,1,72.01,11.38,16.61
55.59072306122986,16.278391335112474,9.60885162853488,Cool,5,41.5,23.55,34.95
80.56156541157455,13.98296405464425,11.781209927624184,Neutral,10,36.0,25.5,38.5
68.84841983745471,10.915056692406589,9.280222175782292,Neutral,8,25.44,52.48,22.08
33.623052625525226,24.21840293857649,9.668828438609012,Cool,1,74.06,10.3,15.64
58.981774237254186,9.659189495072676,12.522029720994883,Warm,6,83.06,10.39,6.55
36.434165001452165,17.136939110802782,30.070011877264957,Cool,2,37.73,25.64,36.63
42.49245565182407,7.856839296286637,24.811024407163767,Cool,3,54.52,31.39,14.09
66.51266586189263,23.329783022310284,34.58567089495267,Cool,7,50.71,34.33,14.96
60.23030732187668,24.13229242166916,9.718304550739344,Warm,6,69.68,23.39,6.93
70.73910480374157,19.28306292784348,20.69799801267252,Neutral,8,43.1,33.55,23.35
53.79344748025196,20.814463296779277,11.583325359162629,Warm,5,48.36,18.43,33.21
76.70409021166681,21.56938598898234,30.77854092939924,Warm,9,35.15,18.14,46.71
41.74740043541854,24.81285474344358,15.227047804246034,Neutral,3,72.95,15.01,12.04
50.00248757536716,5.841863792727238,31.538156297989445,Warm,4,45.91,18.12,35.97
55.449762358153386,22.4019774780186,25.18361673767819,Warm,5,59.74,26.75,13.51
47.24281040030271,22.01149056030232,19.68483007722911,Cool,4,26.18,58.33,15.49
35.08544686573051,21.25599134515005,11.100594267958495,Warm,1,28.88,36.84,34.28
35.35129990040384,24.252968293558503,8.392705973032813,Warm,1,14.79,42.98,42.23
50.95775294427682,16.314639279915824,22.03389661101248,Warm,4,42.62,28.68,28.7
71.96036224623572,13.593136254778702,24.155652076039487,Warm,8,56.42,32.97,10.61
